Iteration,Input (X),Weight (w),Output (a),Actual (y),Cost (c),dc/da,Da/dw,Dc/dw,Alpha
1,15,8,120,75,1012.5,45,15,675,0.001
2,15,7.325,109.875,75,608.1328125,34.875,15,523.125,0.001
3,15,6.801875,102.028125,75,365.259770507813,27.028125,15,405.421875,0.001
4,15,6.396453125,95.946796875,75,219.384149661255,20.946796875,15,314.201953125,0.001
5,15,6.082251171875,91.233767578125,75,131.767604890291,16.233767578125,15,243.506513671875,0.001
6,15,5.83874465820313,87.581169873047,75,79.1429176872327,12.581169873047,15,188.717548095705,0.001
7,15,5.65002711010743,84.7504066516115,75,47.5352149358949,9.7504066516115,15,146.256099774173,0.001
8,15,5.50377101033326,82.5565651549989,75,28.5508384708718,7.5565651549989,15,113.348477324984,0.001
9,15,5.39042253300828,80.8563379951242,75,17.1483473565677,5.8563379951242,15,87.845069926863,0.001
10,15,5.30257746308142,79.5386619462213,75,10.2997261310387,4.5386619462213,15,68.0799291933195,0.001
11,15,5.2344975338881,78.5174630083215,75,6.18627300745507,3.5174630083215,15,52.7619451248225,0.001
12,15,5.18173558876328,77.7260338314492,75,3.7156302251028,2.7260338314492,15,40.890507471738,0.001
13,15,5.14084508129154,77.1126762193731,75,2.23170040395231,2.1126762193731,15,31.6901432905965,0.001
14,15,5.10915493800094,76.6373240700141,75,1.34041505512377,1.6373240700141,15,24.5598610502115,0.001
15,15,5.08459507695073,76.268926154261,75,0.805086792483806,1.268926154261,15,19.033892313915,0.001
16,15,5.06556118463682,75.9834177695523,75,0.48355525473561,0.9834177695523,15,14.7512665432845,0.001
17,15,5.05080991809354,75.7621487714031,75,0.290435374875627,0.7621487714031,15,11.4322315710465,0.001
18,15,5.03937768652249,75.5906652978374,75,0.174442747034672,0.5906652978374,15,8.859979467561,0.001
19,15,5.03051770705493,75.457765605824,75,0.104774674937707,0.457765605824,15,6.86648408736,0.001
20,15,5.02365122296757,75.3547683445136,75,0.0629302891344602,0.3547683445136,15,5.321525167704,0.001
21,15,5.01832969779987,75.2749454669981,75,0.0377975049114017,0.2749454669981,15,4.1241820049715,0.001
22,15,5.0142055157949,75.2130827369235,75,0.0227021263874048,0.2130827369235,15,3.1962410538525,0.001
23,15,5.01100927474105,75.1651391211158,75,0.0136354646614494,0.1651391211158,15,2.477086816737,0.001
24,15,5.00853218792431,75.1279828188647,75,0.00818980096227731,0.1279828188647,15,1.9197422829705,0.001
25,15,5.00661244564134,75.0991866846201,75,0.00491899920296359,0.0991866846201,15,1.4878002693015,0.001
26,15,5.00512464537204,75.0768696805806,75,0.00295447389628174,0.0768696805806,15,1.153045208709,0.001
27,15,5.00397160016333,75.05957400245,75,0.0017745308839563,0.05957400245,15,0.89361003675,0.001
28,15,5.00307799012658,75.0461698518987,75,0.00106582761217395,0.0461698518987,15,0.6925477784805,0.001
29,15,5.0023854423481,75.0357816352215,75,0.000640162709562245,0.0357816352215,15,0.5367245283225,0.001
30,15,5.00184871781978,75.0277307672967,75,0.000384497727431863,0.0277307672967,15,0.4159615094505,0.001
31,15,5.00143275631033,75.021491344655,75,0.000230938947539999,0.021491344655,15,0.322370169825,0.001
32,15,5.00111038614051,75.0166557921077,75,0.000138707705367461,0.0166557921077,15,0.2498368816155,0.001
