Iteration,Input (X1),Input (X2),Weight (w1),Weight (w2),Output (a),Actual (y),Cost (c),dc/da,Da/dw1,Da/dw2,Dc/dw1,Dc/dw2,Learning Rate
1,8,5,2,7.5,53.5,64,55.125,-10.5,8,5,-84,-52.5,0.005
2,8,5,2.42,7.7625,58.1725,64,16.979878125,-5.8275,8,5,-46.62,-29.1375,0.005
3,8,5,2.6531,7.9081875,60.7657375,64,5.23022695945312,-3.2342625,8,5,-25.8741,-16.1713125,0.005
4,8,5,2.7824705,7.9890440625,62.2049843125,64,1.61104065918555,-1.7950156875,8,5,-14.3601255,-8.9750784375,0.005
5,8,5,2.8542711275,8.0339194546875,63.0037662934375,64,0.496240799045629,-0.9962337065625,8,5,-7.9698696525,-4.9811685328125,0.005
6,8,5,2.8941204757625,8.05882529735156,63.4470902928578,64,0.152854572126037,-0.5529097071422,8,5,-4.4232776571376,-2.764548535711,0.005
7,8,5,2.91623686404819,8.07264804003012,63.6931351125361,64,0.047083029579116,-0.3068648874639,8,5,-2.4549190997112,-1.5343244373195,0.005
8,8,5,2.92851145954675,8.08031966221672,63.8296899874576,64,0.0145027501860962,-0.1703100125424,8,5,-1.3624801003392,-0.851550062712,0.005
9,8,5,2.93532386004845,8.08457741253028,63.905477943039,64,0.00446720962606926,-0.094522056961,8,5,-0.756176455688,-0.472610284805,0.005
10,8,5,2.93910474232689,8.08694046395431,63.9475402583867,64,0.0013760122450671,-0.0524597416133,8,5,-0.4196779329064,-0.2622987080665,0.005
11,8,5,2.94120313199142,8.08825195749464,63.9708848434046,64,0.000423846171787332,-0.0291151565954,8,5,-0.2329212527632,-0.145575782977,0.005
12,8,5,2.94236773825524,8.08897983640953,63.9838410880896,64,0.000130555217064033,-0.0161589119104,8,5,-0.1292712952832,-0.080794559552,0.005
13,8,5,2.94301409473166,8.08938380920729,63.9910318038897,64,0.0000402142707364,-0.0089681961103,8,5,-0.0717455688824,-0.0448409805515,0.005
